Elapsed_h,C_EPO_mM,EPO_remaining_%,C_ANT_mM
0.0,2.18,100.0,0.0
0.46,2.160670340514305,99.11331837221582,0.019329659485695316
1.005,2.137990598902074,98.07296325238872,0.04200940109792617
2.238,2.087554942567769,95.75940103521876,0.09244505743223108
3.405,2.0409154313000992,93.6199739128486,0.13908456869990093
5.388,1.964041401613609,90.09364227585361,0.2159585983863912
6.172,1.9344532993770713,88.73638987968216,0.24554670062292883
7.222,1.8955234327390742,86.95061618069147,0.28447656726092596
22.85,1.4006145488008144,64.24837379820248,0.7793854511991858
47.27,0.872929515482153,40.0426383248694,1.3070704845178471
71.38,0.5473264134408679,25.106716212883846,1.6326735865591324
167.68,0.08481888054421809,3.890774336890738,2.095181119455782
195.35,0.04963921890356216,2.2770283900716586,2.130360781096438
215.1,0.033865221607531956,1.553450532455594,2.1461347783924682
239.48,0.021122767225821244,0.9689342764138185,2.158877232774179
312.1,0.00517742706324626,0.23749665427735137,2.174822572936754
