Elapsed_h,C_EPO_mM,EPO_remaining_%,C_ANT_mM
0.0,1.2,100.0,0.0
0.46,1.1893598204665898,99.11331837221582,0.010640179533410121
1.005,1.1768755590286644,98.0729632523887,0.02312444097133559
2.238,1.1491128124226249,95.75940103521874,0.05088718757737509
3.405,1.123439686954183,93.6199739128486,0.07656031304581701
5.388,1.0811237073102433,90.09364227585361,0.11887629268975664
6.172,1.064836678556186,88.73638987968218,0.13516332144381393
7.222,1.0434073941682978,86.95061618069148,0.1565926058317022
22.85,0.7709804855784298,64.24837379820248,0.42901951442157016
47.27,0.4805116598984328,40.0426383248694,0.7194883401015671
71.38,0.30128059455460615,25.106716212883846,0.8987194054453937
167.68,0.04668929204268885,3.890774336890738,1.153310707957311
195.35,0.027324340680859902,2.2770283900716586,1.17267565931914
215.1,0.018641406389467128,1.553450532455594,1.1813585936105329
239.48,0.011627211316965822,0.9689342764138185,1.1883727886830342
312.1,0.0028499598513282163,0.23749665427735137,1.1971500401486717
