Elapsed_h,C_EPO_mM,EPO_remaining_%,C_ANT_mM
0.0,1.2,100.0,0.0
0.46,1.1212920314969648,93.44100262474707,0.07870796850303519
1.005,1.0346943226416918,86.22452688680765,0.16530567735830815
2.238,0.8626601349055323,71.88834457546103,0.3373398650944677
3.405,0.7262641743688798,60.52201453073999,0.47373582563112016
5.388,0.542107708698247,45.17564239152058,0.657892291301753
6.172,0.4829155807833352,40.242965065277936,0.7170844192166648
7.222,0.41363743435348005,34.46978619612334,0.7863625656465199
22.85,0.041272718523883756,3.4393932103236464,1.1587272814761163
47.27,0.0011261288297727899,0.0938440691477325,1.1988738711702271
71.38,3.21638662936474e-05,0.0026803221911372837,1.1999678361337063
167.68,2.185021847440089e-11,1.8208515395334075e-09,1.1999999999781497
195.35,3.691660420957859e-13,3.076383684131549e-11,1.1999999999996307
215.1,2.005650583809094e-14,1.6713754865075785e-12,1.19999999999998
239.48,5.504808721869773e-16,4.5873406015581445e-14,1.1999999999999995
312.1,1.2288773942429353e-20,1.0240644952024461e-18,1.2
