Elapsed_h,C_EPO_mM,EPO_remaining_%,C_ANT_mM
0.0,2.18,100.0,0.0
0.46,2.037013857219486,93.44100262474706,0.14298614278051414
1.005,1.879694686132407,86.22452688680767,0.30030531386759307
2.238,1.5671659117450505,71.88834457546103,0.6128340882549497
3.405,1.3193799167701319,60.52201453073999,0.8606200832298683
5.388,0.9848290041351487,45.17564239152058,1.1951709958648515
6.172,0.877296638423059,40.242965065277936,1.302703361576941
7.222,0.7514413390754888,34.46978619612334,1.4285586609245113
22.85,0.0749787719850555,3.4393932103236464,2.1050212280149445
47.27,0.0020458007074205683,0.09384406914773248,2.1779541992925795
71.38,5.843102376679279e-05,0.0026803221911372837,2.179941568976233
100.0,8.581495297558115e-07,3.936465732824823e-05,2.1799991418504705
