Elapsed_h,C_EPO_mM,EPO_remaining_%,C_ANT_mM
0.0,2.5,100.0,0.0
0.46,2.4778329593053954,99.11331837221582,0.022167040694604623
1.005,2.4518240813097174,98.0729632523887,0.04817591869028259
2.238,2.3939850258804687,95.75940103521874,0.10601497411953131
3.405,2.340499347821215,93.6199739128486,0.15950065217878517
5.388,2.2523410568963405,90.09364227585361,0.24765894310365955
6.172,2.2184097469920543,88.73638987968218,0.2815902530079457
7.222,2.1737654045172867,86.95061618069147,0.3262345954827133
22.85,1.606209344955062,64.24837379820248,0.8937906550449379
47.27,1.001065958121735,40.042638324869394,1.498934041878265
71.38,0.6276679053220962,25.106716212883846,1.8723320946779038
167.68,0.09726935842226844,3.890774336890738,2.4027306415777314
195.35,0.05692570975179147,2.2770283900716586,2.4430742902482083
215.1,0.038836263311389854,1.553450532455594,2.46116373668861
239.48,0.024223356910345464,0.9689342764138185,2.4757766430896546
312.1,0.005937416356933784,0.23749665427735137,2.4940625836430663
